iter	MultiClass
0	1.537021195
1	1.467991974
2	1.409499161
3	1.363038015
4	1.326156596
5	1.28664536
6	1.252181091
7	1.21818477
8	1.191104108
9	1.165468582
10	1.142860396
11	1.12641086
12	1.111729248
13	1.093008592
14	1.077859763
15	1.060478811
16	1.04715911
17	1.032896174
18	1.020355834
19	1.011349797
20	1.001709781
21	0.9935926272
22	0.9841421112
23	0.9765865772
24	0.968596062
25	0.961446917
26	0.9528761227
27	0.9474372536
28	0.9417499551
29	0.9358576461
30	0.9307706594
31	0.9242543846
32	0.9197674711
33	0.9140452259
34	0.9090574475
35	0.90578876
36	0.9009075739
37	0.8954591441
38	0.8914283743
39	0.8874961709
40	0.8832545932
41	0.878908423
42	0.8756771936
43	0.8728033638
44	0.8690559402
45	0.8652951328
46	0.8620153969
47	0.8590991265
48	0.8564553322
49	0.8533501226
50	0.8512338941
51	0.847424479
52	0.8449404813
53	0.8428316339
54	0.8392449449
55	0.8355040365
56	0.8321688245
57	0.8286785821
58	0.8260581689
59	0.8240215372
60	0.8221369139
61	0.8195903215
62	0.8171440447
63	0.8143446633
64	0.8115733062
65	0.8087011335
66	0.806067971
67	0.8040850147
68	0.8019572323
69	0.7995101063
70	0.7973639158
71	0.7952302492
72	0.7930996924
73	0.7910580994
74	0.7885598417
75	0.7861099177
76	0.7847241334
77	0.7827550087
78	0.7804871854
79	0.7778433032
80	0.77626193
81	0.7746349892
82	0.7717760587
83	0.7693112889
84	0.7670514089
85	0.7650667171
86	0.7630849121
87	0.7610475403
88	0.7601316141
89	0.7576759473
90	0.7556984588
91	0.7537085665
92	0.7517869766
93	0.7503198901
94	0.7472447306
95	0.7453994491
96	0.7428562435
97	0.7414498882
98	0.739707901
99	0.7383198568
100	0.7367193011
101	0.7353992311
102	0.7338111835
103	0.7314304796
104	0.7292020637
105	0.7267686245
106	0.725046695
107	0.7234754163
108	0.7227548638
109	0.7209702933
110	0.7197730908
111	0.718424449
112	0.717414252
113	0.7163486274
114	0.7150366155
115	0.7135581629
116	0.7123850229
117	0.7103926176
118	0.7097426901
119	0.7076116326
120	0.7064061799
121	0.7049303493
122	0.7034331553
123	0.7020423489
124	0.6995872922
125	0.6984634257
126	0.696833027
127	0.6957079088
128	0.6943512151
129	0.6925344086
130	0.6911006502
131	0.6892945332
132	0.6880726007
133	0.6863965094
134	0.6848745752
135	0.6838912334
136	0.6830539524
137	0.6819652777
138	0.6806015568
139	0.6795767444
140	0.6785476528
141	0.6763679064
142	0.6759067633
143	0.6743042649
144	0.6722425061
145	0.6698438069
146	0.6679157115
147	0.6666883066
148	0.6647949085
149	0.6635575169
150	0.6615050841
151	0.6600356024
152	0.6592874547
153	0.658129206
154	0.6574734967
155	0.6558898257
156	0.6545323612
157	0.6538929813
158	0.6532867792
159	0.6516324767
160	0.6498707147
161	0.6494439057
162	0.6479603164
163	0.6468218216
164	0.645599946
165	0.6451802382
166	0.6435599851
167	0.6424366807
168	0.6420350054
169	0.6404995642
170	0.6393126525
171	0.6387918318
172	0.6378515888
173	0.637308903
174	0.6360216195
175	0.6351154772
176	0.6335412852
177	0.6323085741
178	0.631217489
179	0.6306862917
180	0.6299006132
181	0.6290370192
182	0.6274246021
183	0.6262555921
184	0.6248734304
185	0.623028425
186	0.6216653551
187	0.620757065
188	0.6197288168
189	0.6189795801
190	0.6181384521
191	0.6166531738
192	0.6159743321
193	0.6135472835
194	0.6126477365
195	0.6118891568
196	0.610982794
197	0.6101406913
198	0.6089623833
199	0.6077352615
200	0.6062072518
201	0.60547923
202	0.6039123669
203	0.6022191148
204	0.6006088153
205	0.5995687597
206	0.5981889271
207	0.5972152944
208	0.5963572393
209	0.5959386302
210	0.5954925099
211	0.5950372314
212	0.5944449172
213	0.5933838108
214	0.5926357568
215	0.5914788138
216	0.5904869526
217	0.5891165861
218	0.5886906887
219	0.5880015272
220	0.5874960925
221	0.5869441772
222	0.5860117909
223	0.5854699568
224	0.5848723753
225	0.5841381096
226	0.5826566383
227	0.581836596
228	0.5810581789
229	0.579846987
230	0.5788664794
231	0.5777358924
232	0.5767496644
233	0.5760888588
234	0.5748468877
235	0.5738258979
