iter	Passed	Remaining
0	18	18398
1	34	17397
2	49	16357
3	64	16114
4	80	16063
5	97	16183
6	112	15937
7	127	15755
8	140	15484
9	154	15305
10	167	15053
11	182	14992
12	195	14853
13	210	14847
14	224	14763
15	239	14728
16	253	14649
17	268	14637
18	282	14572
19	296	14525
20	310	14464
21	323	14379
22	336	14276
23	350	14259
24	365	14267
25	379	14224
26	393	14184
27	408	14172
28	422	14161
29	435	14083
30	449	14056
31	464	14050
32	478	14035
33	492	13995
34	505	13939
35	520	13949
36	537	13995
37	552	13986
38	567	13992
39	583	13992
40	597	13980
41	614	14009
42	627	13958
43	642	13953
44	657	13959
45	673	13971
46	688	13969
47	705	13984
48	721	14011
49	735	13978
50	749	13949
51	764	13943
52	777	13899
53	792	13888
54	806	13856
55	819	13819
56	834	13798
57	849	13789
58	864	13782
59	876	13732
60	889	13695
61	902	13656
62	918	13656
63	931	13621
64	946	13607
65	960	13587
66	975	13579
67	991	13590
68	1005	13567
69	1020	13551
70	1036	13567
71	1053	13572
72	1068	13567
73	1083	13553
74	1096	13522
75	1112	13522
76	1125	13488
77	1138	13459
78	1151	13426
79	1166	13410
80	1180	13393
81	1194	13370
82	1206	13326
83	1220	13303
84	1235	13296
85	1248	13264
86	1262	13247
87	1275	13215
88	1289	13196
89	1304	13191
90	1318	13173
91	1333	13162
92	1349	13161
93	1363	13141
94	1376	13108
95	1389	13088
96	1403	13067
97	1417	13046
98	1430	13019
99	1442	12985
100	1457	12974
101	1471	12958
102	1485	12940
103	1499	12919
104	1513	12901
105	1528	12889
106	1541	12867
107	1556	12852
108	1570	12833
109	1584	12816
110	1596	12788
111	1610	12767
112	1625	12757
113	1639	12741
114	1653	12725
115	1667	12709
116	1681	12692
117	1695	12675
118	1710	12664
119	1724	12647
120	1738	12627
121	1751	12607
122	1765	12585
123	1779	12574
124	1793	12551
125	1806	12531
126	1821	12519
127	1836	12508
128	1849	12486
129	1862	12463
130	1876	12444
131	1890	12433
132	1904	12416
133	1918	12395
134	1932	12379
135	1947	12372
136	1964	12373
137	1979	12367
138	1994	12356
139	2010	12347
140	2025	12338
141	2040	12331
142	2056	12323
143	2072	12318
144	2086	12304
145	2099	12281
146	2114	12268
147	2128	12250
148	2141	12230
149	2154	12208
150	2168	12191
151	2183	12179
152	2197	12164
153	2210	12142
154	2224	12128
155	2239	12117
156	2254	12106
157	2268	12086
158	2282	12075
159	2298	12065
160	2312	12051
161	2326	12036
162	2340	12019
163	2353	11999
164	2367	11982
165	2382	11972
166	2399	11971
167	2415	11963
168	2430	11950
169	2447	11949
170	2463	11942
171	2478	11931
172	2493	11919
173	2507	11903
174	2521	11885
175	2535	11869
176	2550	11857
177	2564	11844
178	2579	11828
179	2594	11818
180	2607	11797
181	2622	11785
182	2636	11769
183	2648	11747
184	2662	11730
185	2678	11720
186	2692	11703
187	2706	11688
188	2722	11680
189	2736	11665
190	2751	11653
191	2765	11639
192	2779	11621
193	2793	11606
194	2807	11591
195	2820	11571
196	2835	11556
197	2847	11533
198	2861	11516
199	2876	11505
200	2890	11491
201	2905	11479
202	2920	11467
203	2934	11449
204	2949	11439
205	2964	11426
206	2979	11413
207	2992	11396
208	3008	11385
209	3024	11377
210	3039	11366
211	3054	11351
212	3069	11339
213	3083	11325
214	3098	11313
215	3113	11301
216	3125	11279
217	3140	11264
218	3153	11246
219	3165	11222
220	3178	11205
221	3193	11190
222	3206	11171
223	3218	11150
224	3234	11139
225	3247	11122
226	3261	11107
227	3276	11094
228	3289	11075
229	3305	11065
230	3321	11056
231	3335	11043
232	3350	11029
233	3364	11013
234	3377	10994
235	3390	10976
236	3404	10958
237	3417	10942
238	3431	10927
239	3446	10914
240	3459	10896
241	3472	10877
242	3486	10860
243	3500	10847
244	3515	10832
245	3527	10813
246	3540	10794
247	3555	10782
248	3569	10765
249	3583	10750
250	3598	10737
251	3611	10718
252	3625	10704
253	3638	10686
254	3652	10672
255	3667	10657
256	3680	10640
257	3695	10627
258	3709	10611
259	3723	10596
260	3737	10582
261	3750	10563
262	3762	10544
263	3776	10528
264	3790	10513
265	3803	10494
266	3817	10479
267	3831	10464
268	3844	10446
269	3858	10432
270	3871	10414
271	3886	10401
272	3900	10386
273	3913	10369
274	3929	10360
275	3946	10351
276	3962	10342
277	3978	10333
278	3995	10324
279	4014	10322
280	4031	10314
281	4047	10305
282	4063	10294
283	4079	10284
284	4095	10273
285	4110	10262
286	4125	10248
287	4139	10233
288	4154	10221
289	4169	10207
290	4183	10191
291	4195	10173
292	4210	10159
293	4223	10143
294	4237	10127
295	4251	10111
296	4266	10099
297	4281	10085
298	4294	10068
299	4308	10053
300	4323	10039
301	4338	10027
302	4351	10009
303	4366	9996
304	4379	9979
305	4392	9963
306	4409	9954
307	4424	9939
308	4437	9923
309	4451	9908
310	4464	9891
311	4479	9876
312	4493	9863
313	4508	9849
314	4522	9835
315	4537	9821
316	4550	9804
317	4565	9792
318	4580	9777
319	4594	9762
320	4609	9749
321	4622	9733
322	4635	9715
323	4650	9701
324	4663	9684
325	4677	9670
326	4692	9657
327	4706	9641
328	4720	9628
329	4735	9614
330	4748	9598
331	4764	9586
332	4777	9569
333	4791	9553
334	4804	9536
335	4816	9519
336	4830	9502
337	4842	9483
338	4856	9469
339	4870	9453
340	4884	9438
341	4899	9427
342	4914	9412
343	4926	9395
344	4941	9381
345	4958	9372
346	4971	9355
347	4988	9345
348	5004	9334
349	5022	9326
350	5038	9317
351	5052	9300
352	5066	9285
353	5078	9268
354	5092	9253
355	5106	9236
356	5121	9223
357	5135	9209
358	5149	9194
359	5163	9179
360	5177	9164
361	5190	9147
362	5204	9133
363	5217	9117
364	5232	9102
365	5247	9089
366	5261	9074
367	5273	9057
368	5288	9042
369	5300	9024
370	5315	9011
371	5329	8997
372	5342	8981
373	5356	8964
374	5369	8948
375	5381	8931
376	5394	8913
377	5407	8897
378	5420	8882
379	5433	8865
380	5445	8846
381	5459	8831
382	5472	8816
383	5486	8801
384	5499	8785
385	5512	8768
386	5526	8754
387	5540	8738
388	5553	8723
389	5569	8710
390	5582	8694
391	5595	8678
392	5611	8666
393	5626	8653
394	5641	8640
395	5656	8627
396	5673	8616
397	5688	8604
398	5704	8592
399	5720	8580
400	5737	8569
401	5751	8556
402	5765	8541
403	5782	8530
404	5797	8517
405	5814	8506
406	5829	8492
407	5843	8479
408	5857	8464
409	5871	8448
410	5884	8433
411	5899	8419
412	5913	8405
413	5927	8390
414	5940	8374
415	5955	8361
416	5969	8346
417	5982	8330
418	5998	8317
419	6015	8306
420	6028	8290
421	6042	8276
422	6054	8259
423	6068	8243
424	6081	8227
425	6094	8211
426	6108	8197
427	6122	8183
428	6137	8169
429	6152	8155
430	6164	8138
431	6176	8121
432	6189	8104
433	6204	8091
434	6216	8074
435	6231	8060
436	6242	8042
437	6257	8028
438	6269	8012
439	6283	7997
440	6296	7981
441	6309	7965
442	6322	7949
443	6335	7933
444	6347	7917
445	6360	7900
446	6373	7884
447	6386	7869
448	6400	7854
449	6414	7840
450	6429	7826
451	6441	7810
452	6456	7795
453	6468	7778
454	6481	7763
455	6494	7747
456	6509	7734
457	6522	7718
458	6536	7704
459	6549	7688
460	6561	7671
461	6575	7656
462	6588	7641
463	6603	7627
464	6618	7614
465	6630	7598
466	6642	7581
467	6658	7568
468	6671	7553
469	6685	7538
470	6699	7524
471	6714	7510
472	6727	7495
473	6741	7480
474	6754	7465
475	6769	7451
476	6782	7437
477	6795	7420
478	6808	7405
479	6822	7390
480	6835	7375
481	6849	7360
482	6862	7345
483	6875	7330
484	6891	7318
485	6905	7303
486	6920	7290
487	6934	7276
488	6948	7261
489	6964	7248
490	6977	7233
491	6992	7220
492	7005	7204
493	7020	7190
494	7035	7177
495	7049	7163
496	7062	7147
497	7076	7133
498	7088	7117
499	7102	7102
500	7116	7087
501	7128	7071
502	7143	7058
503	7157	7044
504	7169	7027
505	7182	7011
506	7194	6996
507	7207	6980
508	7220	6964
509	7234	6950
510	7248	6936
511	7260	6920
512	7273	6904
513	7287	6890
514	7299	6874
515	7314	6860
